Departamento;Municipio;Semester;count;min;max;mean;std,
BOYACÁ;EL ESPINO;2023-S1;16965;0.0;10.6;0.040536398467432955;0.28438629891568484,
TOLIMA;VILLAHERMOSA;2023-S1;5770;0.0;0.0;0.0;0.0,
NORTE DE SANTANDER;OCAÑA;2023-S1;14220;0.0;8.2;0.0027848101265822785;0.09310187903025306,
CUNDINAMARCA;VILLETA;2023-S1;25222;0.0;12.4;0.013032273412100547;0.21983502251687007,
ANTIOQUIA;PUERTO NARE;2023-S1;6125;0.0;5.2;0.009795918367346938;0.121101684725808,
CALDAS;VILLAMARIA;2023-S1;27278;0.0;10.0;0.02041938558545348;0.1647676591505681,
CAUCA;PATÍA (EL BORDO);2023-S1;16793;0.0;9.2;0.015661287441195736;0.2082020347353098,
CUNDINAMARCA;PASCA;2023-S1;10678;0.0;5.9;0.021146282075295002;0.15425201622491055,
VALLE DEL CAUCA;CARTAGO;2023-S1;515;0.0;0.2;0.0025242718446601945;0.0180098571476424,
SANTANDER;PUENTE NACIONAL;2023-S1;25117;0.0;14.6;0.04319783413624238;0.38946809082566425,
CHOCO;QUIBDÓ;2023-S1;26571;0.0;9.5;0.19066275262504234;0.4960390124567288,
HUILA;ALGECIRAS;2023-S1;10310;0.0;0.6;0.0029291949563530558;0.026190794893507195,
HUILA;PALESTINA;2023-S1;10680;0.0;11.2;0.03357677902621723;0.2329853576795755,
VALLE DEL CAUCA;CALI;2023-S1;6075;0.0;0.3;0.0009382716049382717;0.010460675155264111,
TOLIMA;CAJAMARCA;2023-S1;10539;0.0;7.4;0.028778821520068318;0.18797130515400076,
CUNDINAMARCA;ZIPAQUIRÁ;2023-S1;21327;0.0;13.2;0.017986589768837623;0.17511941025459404,
NARIÑO;TUMACO;2023-S1;18996;0.0;11.0;0.035681196041271845;0.34779153466296153,
TOLIMA;NATAGAIMA;2023-S1;10666;0.0;26.0;0.042565160322520154;0.5649187418770217,
CORDOBA;MONTELÍBANO;2023-S1;18634;0.0;13.0;0.003520446495653107;0.16332709434511014,
CUNDINAMARCA;GIRARDOT;2023-S1;24910;0.0;7.4;0.009987956643918104;0.12194559979830655,
BOYACÁ;VILLA DE LEIVA;2023-S1;18987;0.0;7.8;0.007520935376836783;0.11365387234145856,
VALLE DEL CAUCA;BUGALAGRANDE;2023-S1;10683;0.0;6.8;0.01890854628849574;0.19883589167683463,
TOLIMA;VALLE DE SAN JUAN;2023-S1;28224;0.0;18.8;0.023154053287981858;0.3105132562515096,
BOYACÁ;GUAYATÁ;2023-S1;10662;0.0;2.8;0.013899831176139563;0.11123040030892625,
PUTUMAYO;MOCOA;2023-S1;30907;0.0;8.7;0.05231500954476333;0.2995165252084426,
HUILA;COLOMBIA;2023-S1;10678;0.0;9.6;0.024030717362802025;0.2550737768392677,
TOLIMA;FRESNO;2023-S1;10252;0.0;0.0;0.0;0.0,
HUILA;TESALIA;2023-S1;8723;0.0;17.4;0.030379456608964805;0.34623626473876246,
CASANARE;MANI;2023-S1;10676;0.0;1.8;0.012008242787560883;0.09256204616940186,
SUCRE;MORROA;2023-S1;10682;0.0;19.7;0.010475566373338326;0.29143723160988216,
META;RESTREPO;2023-S1;10683;0.0;15.7;0.08393709632125806;0.6161773737025851,
ARAUCA;TAME;2023-S1;10535;0.0;3.8;0.003872804935927859;0.07170519935172116,
META;EL CALVARIO;2023-S1;10673;0.0;2.6;0.014222805209406915;0.09455816242040381,
TOLIMA;SALDAÑA;2023-S1;15438;0.0;15.1;0.0516582458867729;0.5122577636142375,
NARIÑO;CONTADERO;2023-S1;10452;0.0;11.3;0.03592613853807884;0.2658180612700064,
BOYACÁ;PAIPA;2023-S1;31449;0.0;6.5;0.013469426690832778;0.12983639770729086,
BOGOTA;BOGOTA, D.C;2023-S1;65377;0.0;16.0;0.01725071508328617;0.1770743019865536
BOYACÁ;TUTA;2023-S1;10537;0.0;7.8;0.018658062067001994;0.1945859418896853,
ANTIOQUIA;BELLO;2023-S1;3472;0.0;3.3;0.00794930875576037;0.08280692117028862,
NARIÑO;TÚQUERRES;2023-S1;10682;0.0;3.5;0.022692379704175248;0.11490354379203199,
CUNDINAMARCA;CABRERA;2023-S1;12363;0.0;6.0;0.021475370055811696;0.1697443973484095,
CORDOBA;MONTERÍA;2023-S1;2672;0.0;1.1;0.0012724550898203595;0.028144101917493707,
CAUCA;INZÁ;2023-S1;4591;0.0;0.1;2.178174689610107e-05;0.0014758640484848551,
CUNDINAMARCA;GUADUAS;2023-S1;16953;0.0;12.3;0.03583436559900902;0.2775521479619365,
BOLIVAR;EL CARMÉN DE BOLÍVAR;2023-S1;20929;0.0;18.1;0.0053323140140474935;0.17699886640247584,
MAGDALENA;ZONA BANANERA;2023-S1;10663;0.0;2.8;0.0007408796773891026;0.0319211462952936,
NORTE DE SANTANDER;MUTISCUA;2023-S1;10561;0.0;3.8;0.009923302717545686;0.07755743099032031,
BOYACÁ;TIBASOSA;2023-S1;14399;0.0;14.6;0.020376415028821444;0.23179388243269694,
ANTIOQUIA;SANTA BÁRBARA;2023-S1;10540;0.0;0.3;4.743833017077799e-05;0.0032303517295643467,
HUILA;SANTA MARÍA;2023-S1;30224;0.0;11.4;0.030664372683959766;0.28503001415618345,
ANTIOQUIA;ANGOSTURA;2023-S1;18991;0.0;9.2;0.010994681691327472;0.18120541767443996,
CAQUETA;MORELIA;2023-S1;10681;0.0;0.8;0.011571950191929595;0.05896239752375093,
CUNDINAMARCA;UNE;2023-S1;10164;0.0;5.8;0.01065525383707202;0.1035035361445937,
CASANARE;PAZ DE ARIPORO;2023-S1;10661;0.0;3.0;0.0017259168933495919;0.040434139265233496,
NORTE DE SANTANDER;CHITAGÁ;2023-S1;10684;0.0;1.6;0.006813927368026957;0.05553172893429366,
NORTE DE SANTANDER;HERRÁN;2023-S1;10457;0.0;0.1;1.912594434350196e-05;0.001382899676760483,
BOYACÁ;PESCA;2023-S1;13347;0.0;0.2;4.4953922229714546e-05;0.0029982390011883357,
LA GUAJIRA;URIBIA;2023-S1;35967;0.0;10.0;0.0006811799705285401;0.05600594157901047,
BOYACÁ;CHINAVITA;2023-S1;10663;0.0;1.2;0.006264653474631904;0.03616060948185589,
BOYACÁ;LA CAPILLA;2023-S1;10521;0.0;1.1;0.002975002376199981;0.02801561627534797,
BOYACÁ;BOAVITA;2023-S1;8900;0.0;7.0;0.017235955056179777;0.21457091888928112,
CUNDINAMARCA;GUASCA;2023-S1;17937;0.0;5.0;0.007816245749010424;0.09382238874784492,
BOYACÁ;ZETAQUIRÁ;2023-S1;10535;0.0;1.0;0.004252491694352159;0.0333405149134879,
META;GRANADA;2023-S1;10630;0.0;0.0;0.0;0.0,
BOLIVAR;ARJONA;2023-S1;10663;0.0;0.0;0.0;0.0,
CAUCA;CORINTO;2023-S1;10646;0.0;12.2;0.047482622581251174;0.3686502533932816,
CORDOBA;SAHAGÚN;2023-S1;10683;0.0;0.0;0.0;0.0,
NARIÑO;PUERRES;2023-S1;18982;0.0;4.4;0.044457907491307555;0.17070529198247075,
CUNDINAMARCA;BOJACÁ;2023-S1;10655;0.0;8.2;0.020422336931018303;0.17823048722979132,
ANTIOQUIA;SANTA FE DE ANTIOQUIA;2023-S1;20962;0.0;8.8;0.011496994561587634;0.16585450095312707,
HUILA;SALADOBLANCO;2023-S1;10669;0.0;0.0;0.0;0.0,
NARIÑO;TAMINANGO;2023-S1;10399;0.0;8.5;0.022934897586306374;0.23921636405775565,
CAUCA;POPAYÁN;2023-S1;29526;0.0;12.8;0.024375127006705955;0.23289855052800315,
CASANARE;MONTERREY;2023-S1;914;0.0;3.0;0.010065645514223193;0.13624359691846274,
ATLANTICO;BARRANQUILLA;2023-S1;10681;0.0;3.7;0.0006834566051867803;0.04133200142092083,
MAGDALENA;PIVIJAI;2023-S1;10681;0.0;0.0;0.0;0.0,
CUNDINAMARCA;NEMOCÓN;2023-S1;10670;0.0;1.3;0.001274601686972821;0.026624139855478315,
SANTANDER;LOS SANTOS;2023-S1;10419;0.0;10.8;0.02318840579710145;0.2935666639349129,
